,GSPC
2017-01-13,2274.639892578125
2017-01-20,2271.31005859375
2017-01-27,2294.68994140625
2017-02-03,2297.419921875
2017-02-10,2316.10009765625
2017-02-17,2351.159912109375
2017-02-24,2367.340087890625
2017-03-03,2383.1201171875
2017-03-10,2372.60009765625
2017-03-17,2378.25
2017-03-24,2343.97998046875
2017-03-31,2362.719970703125
2017-04-07,2355.5400390625
2017-04-14,2328.949951171875
2017-04-21,2348.68994140625
2017-04-28,2384.199951171875
2017-05-05,2399.2900390625
2017-05-12,2390.89990234375
2017-05-19,2381.72998046875
2017-05-26,2415.820068359375
2017-06-02,2439.070068359375
2017-06-09,2431.77001953125
2017-06-16,2433.14990234375
2017-06-23,2438.300048828125
2017-06-30,2423.409912109375
2017-07-07,2425.179931640625
2017-07-14,2459.27001953125
2017-07-21,2472.5400390625
2017-07-28,2472.10009765625
2017-08-04,2476.830078125
2017-08-11,2441.320068359375
2017-08-18,2425.550048828125
2017-08-25,2443.050048828125
2017-09-01,2476.550048828125
2017-09-08,2461.429931640625
2017-09-15,2500.22998046875
2017-09-22,2502.219970703125
2017-09-29,2519.360107421875
2017-10-06,2549.330078125
2017-10-13,2553.169921875
2017-10-20,2575.2099609375
2017-10-27,2581.070068359375
2017-11-03,2587.840087890625
2017-11-10,2582.300048828125
2017-11-17,2578.85009765625
2017-11-24,2602.419921875
2017-12-01,2642.219970703125
2017-12-08,2651.5
2017-12-15,2675.81005859375
2017-12-22,2683.340087890625
2017-12-29,2673.610107421875
2018-01-05,2743.14990234375
2018-01-12,2786.239990234375
2018-01-19,2810.300048828125
2018-01-26,2872.8701171875
2018-02-02,2762.1298828125
2018-02-09,2619.550048828125
2018-02-16,2732.219970703125
2018-02-23,2747.300048828125
2018-03-02,2691.25
2018-03-09,2786.570068359375
2018-03-16,2752.010009765625
2018-03-23,2588.260009765625
2018-03-30,2640.8701171875
2018-04-06,2604.469970703125
2018-04-13,2656.300048828125
2018-04-20,2670.139892578125
2018-04-27,2669.909912109375
2018-05-04,2663.419921875
2018-05-11,2727.719970703125
2018-05-18,2712.969970703125
2018-05-25,2721.330078125
2018-06-01,2734.6201171875
2018-06-08,2779.030029296875
2018-06-15,2779.659912109375
2018-06-22,2754.8798828125
2018-06-29,2718.3701171875
2018-07-06,2759.820068359375
2018-07-13,2801.31005859375
2018-07-20,2801.830078125
2018-07-27,2818.820068359375
2018-08-03,2840.35009765625
2018-08-10,2833.280029296875
2018-08-17,2850.1298828125
2018-08-24,2874.68994140625
2018-08-31,2901.52001953125
2018-09-07,2871.679931640625
2018-09-14,2904.97998046875
2018-09-21,2929.669921875
2018-09-28,2913.97998046875
2018-10-05,2885.570068359375
2018-10-12,2767.1298828125
2018-10-19,2767.780029296875
2018-10-26,2658.68994140625
2018-11-02,2723.06005859375
2018-11-09,2781.010009765625
2018-11-16,2736.27001953125
2018-11-23,2632.56005859375
2018-11-30,2760.169921875
2018-12-07,2633.080078125
2018-12-14,2599.949951171875
2018-12-21,2416.6201171875
2018-12-28,2485.739990234375
2019-01-04,2531.93994140625
2019-01-11,2596.260009765625
2019-01-18,2670.7099609375
2019-01-25,2664.760009765625
2019-02-01,2706.530029296875
2019-02-08,2707.8798828125
2019-02-15,2775.60009765625
2019-02-22,2792.669921875
2019-03-01,2803.68994140625
2019-03-08,2743.070068359375
2019-03-15,2822.47998046875
2019-03-22,2800.7099609375
2019-03-29,2834.39990234375
2019-04-05,2892.739990234375
2019-04-12,2907.409912109375
2019-04-19,2905.030029296875
2019-04-26,2939.8798828125
2019-05-03,2945.639892578125
2019-05-10,2881.39990234375
2019-05-17,2859.530029296875
2019-05-24,2826.06005859375
2019-05-31,2752.06005859375
2019-06-07,2873.340087890625
2019-06-14,2886.97998046875
2019-06-21,2950.4599609375
2019-06-28,2941.760009765625
2019-07-05,2990.409912109375
2019-07-12,3013.77001953125
2019-07-19,2976.610107421875
2019-07-26,3025.860107421875
2019-08-02,2932.050048828125
2019-08-09,2918.64990234375
2019-08-16,2888.679931640625
2019-08-23,2847.110107421875
2019-08-30,2926.4599609375
2019-09-06,2978.7099609375
2019-09-13,3007.389892578125
2019-09-20,2992.070068359375
2019-09-27,2961.7900390625
2019-10-04,2952.010009765625
2019-10-11,2970.27001953125
2019-10-18,2986.199951171875
2019-10-25,3022.550048828125
2019-11-01,3066.909912109375
2019-11-08,3093.080078125
2019-11-15,3120.4599609375
2019-11-22,3110.2900390625
2019-11-29,3140.97998046875
2019-12-06,3145.909912109375
2019-12-13,3168.800048828125
2019-12-20,3221.219970703125
2019-12-27,3240.02001953125
2020-01-03,3234.85009765625
2020-01-10,3265.35009765625
2020-01-17,3329.6201171875
2020-01-24,3295.469970703125
2020-01-31,3225.52001953125
2020-02-07,3327.7099609375
2020-02-14,3380.159912109375
2020-02-21,3337.75
2020-02-28,2954.219970703125
2020-03-06,2972.3701171875
2020-03-13,2711.02001953125
2020-03-20,2304.919921875
2020-03-27,2541.469970703125
2020-04-03,2488.64990234375
2020-04-10,2789.820068359375
2020-04-17,2874.56005859375
2020-04-24,2836.739990234375
2020-05-01,2830.7099609375
2020-05-08,2929.800048828125
2020-05-15,2863.699951171875
2020-05-22,2955.449951171875
2020-05-29,3044.31005859375
2020-06-05,3193.929931640625
2020-06-12,3041.31005859375
2020-06-19,3097.739990234375
2020-06-26,3009.050048828125
2020-07-03,3130.010009765625
2020-07-10,3185.0400390625
2020-07-17,3224.72998046875
2020-07-24,3215.6298828125
2020-07-31,3271.1201171875
2020-08-07,3351.280029296875
2020-08-14,3372.85009765625
2020-08-21,3397.159912109375
2020-08-28,3508.010009765625
2020-09-04,3426.9599609375
2020-09-11,3340.969970703125
2020-09-18,3319.469970703125
2020-09-25,3298.4599609375
2020-10-02,3348.419921875
2020-10-09,3477.139892578125
2020-10-16,3483.81005859375
2020-10-23,3465.389892578125
2020-10-30,3269.9599609375
2020-11-06,3509.43994140625
2020-11-13,3585.14990234375
2020-11-20,3557.5400390625
2020-11-27,3638.35009765625
2020-12-04,3699.1201171875
2020-12-11,3663.4599609375
2020-12-18,3709.409912109375
2020-12-25,3703.06005859375
2021-01-01,3756.070068359375
2021-01-08,3824.679931640625
2021-01-15,3768.25
2021-01-22,3841.469970703125
2021-01-29,3714.239990234375
2021-02-05,3886.830078125
2021-02-12,3934.830078125
2021-02-19,3906.7099609375
2021-02-26,3811.14990234375
2021-03-05,3841.93994140625
2021-03-12,3943.340087890625
2021-03-19,3913.10009765625
2021-03-26,3974.5400390625
2021-04-02,4019.8701171875
2021-04-09,4128.7998046875
2021-04-16,4185.47021484375
2021-04-23,4180.169921875
2021-04-30,4181.169921875
2021-05-07,4232.60009765625
2021-05-14,4173.85009765625
2021-05-21,4155.85986328125
2021-05-28,4204.10986328125
2021-06-04,4229.89013671875
2021-06-11,4247.43994140625
2021-06-18,4166.4501953125
2021-06-25,4280.7001953125
2021-07-02,4352.33984375
2021-07-09,4369.5498046875
2021-07-16,4327.16015625
2021-07-23,4411.7900390625
2021-07-30,4395.259765625
2021-08-06,4436.52001953125
2021-08-13,4468.0
2021-08-20,4441.669921875
2021-08-27,4509.3701171875
2021-09-03,4535.43017578125
2021-09-10,4458.580078125
2021-09-17,4432.990234375
2021-09-24,4455.47998046875
2021-10-01,4357.0400390625
2021-10-08,4391.33984375
2021-10-15,4471.3701171875
2021-10-22,4544.89990234375
2021-10-29,4605.3798828125
2021-11-05,4697.52978515625
2021-11-12,4682.85009765625
2021-11-19,4697.9599609375
2021-11-26,4594.6201171875
2021-12-03,4538.43017578125
2021-12-10,4712.02001953125
2021-12-17,4620.64013671875
2021-12-24,4725.7900390625
2021-12-31,4766.18017578125
2022-01-07,4677.02978515625
2022-01-14,4662.85009765625
2022-01-21,4397.93994140625
2022-01-28,4431.85009765625
2022-02-04,4500.52978515625
2022-02-11,4418.64013671875
2022-02-18,4348.8701171875
2022-02-25,4384.64990234375
2022-03-04,4328.8701171875
2022-03-11,4204.31005859375
2022-03-18,4463.1201171875
2022-03-25,4543.06005859375
2022-04-01,4545.85986328125
2022-04-08,4488.27978515625
2022-04-15,4392.58984375
2022-04-22,4271.77978515625
2022-04-29,4131.93017578125
2022-05-06,4123.33984375
2022-05-13,4023.889892578125
2022-05-20,3901.360107421875
2022-05-27,4158.240234375
2022-06-03,4108.5400390625
2022-06-10,3900.860107421875
2022-06-17,3674.840087890625
2022-06-24,3911.739990234375
2022-07-01,3825.330078125
2022-07-08,3899.3798828125
2022-07-15,3863.159912109375
2022-07-22,3961.6298828125
2022-07-29,4130.2900390625
2022-08-05,4145.18994140625
2022-08-12,4280.14990234375
2022-08-19,4228.47998046875
2022-08-26,4057.659912109375
2022-09-02,3924.260009765625
2022-09-09,4067.360107421875
2022-09-16,3873.330078125
2022-09-23,3693.22998046875
2022-09-30,3585.6201171875
2022-10-07,3639.659912109375
2022-10-14,3583.070068359375
2022-10-21,3752.75
2022-10-28,3901.06005859375
2022-11-04,3770.550048828125
2022-11-11,3992.929931640625
2022-11-18,3965.340087890625
2022-11-25,4026.1201171875
2022-12-02,4071.699951171875
2022-12-09,3934.3798828125
2022-12-16,3852.360107421875
2022-12-23,3844.820068359375
2022-12-30,3839.5
2023-01-06,3895.080078125
2023-01-13,3999.090087890625
2023-01-20,3972.610107421875
2023-01-27,4070.56005859375
2023-02-03,4136.47998046875
2023-02-10,4090.4599609375
2023-02-17,4079.090087890625
2023-02-24,3970.0400390625
2023-03-03,4045.639892578125
2023-03-10,3861.590087890625
2023-03-17,3916.639892578125
2023-03-24,3970.989990234375
2023-03-31,4109.31005859375
2023-04-07,4105.02001953125
2023-04-14,4137.64013671875
2023-04-21,4133.52001953125
2023-04-28,4169.47998046875
2023-05-05,4136.25
2023-05-12,4124.080078125
2023-05-19,4191.97998046875
2023-05-26,4205.4501953125
2023-06-02,4282.3701171875
2023-06-09,4298.85986328125
2023-06-16,4409.58984375
2023-06-23,4348.330078125
2023-06-30,4450.3798828125
2023-07-07,4398.9501953125
2023-07-14,4505.419921875
2023-07-21,4536.33984375
2023-07-28,4582.22998046875
2023-08-04,4478.02978515625
2023-08-11,4464.0498046875
2023-08-18,4369.7099609375
2023-08-25,4405.7099609375
2023-09-01,4515.77001953125
2023-09-08,4457.490234375
2023-09-15,4450.31982421875
2023-09-22,4320.06005859375
2023-09-29,4288.0498046875
2023-10-06,4308.5
2023-10-13,4327.77978515625
2023-10-20,4224.16015625
2023-10-27,4117.3701171875
2023-11-03,4358.33984375
2023-11-10,4415.240234375
2023-11-17,4514.02001953125
2023-11-24,4559.33984375
2023-12-01,4594.6298828125
2023-12-08,4604.3701171875
2023-12-15,4719.18994140625
2023-12-22,4754.6298828125
2023-12-29,4769.830078125
2024-01-05,4697.240234375
2024-01-12,4783.830078125
2024-01-19,4839.81005859375
2024-01-26,4890.97021484375
2024-02-02,4958.60986328125
2024-02-09,5026.60986328125
2024-02-16,5005.56982421875
2024-02-23,5088.7998046875
2024-03-01,5137.080078125
2024-03-08,5123.68994140625
2024-03-15,5117.08984375
2024-03-22,5234.18017578125
2024-03-29,5254.35009765625
2024-04-05,5204.33984375
2024-04-12,5123.41015625
2024-04-19,4967.22998046875
2024-04-26,5099.9599609375
2024-05-03,5127.7900390625
2024-05-10,5222.68017578125
2024-05-17,5303.27001953125
2024-05-24,5304.72021484375
2024-05-31,5277.509765625
2024-06-07,5346.990234375
2024-06-14,5431.60009765625
2024-06-21,5464.6201171875
2024-06-28,5460.47998046875
2024-07-05,5567.18994140625
2024-07-12,5615.35009765625
2024-07-19,5505.0
2024-07-26,5459.10009765625
2024-08-02,5346.56005859375
2024-08-09,5344.16015625
2024-08-16,5554.25
2024-08-23,5634.60986328125
2024-08-30,5648.39990234375
2024-09-06,5408.419921875
2024-09-13,5626.02001953125
2024-09-20,5702.5498046875
2024-09-27,5738.169921875
2024-10-04,5751.06982421875
2024-10-11,5815.02978515625
2024-10-18,5864.669921875
2024-10-25,5808.1201171875
2024-11-01,5728.7998046875
2024-11-08,5995.5400390625
2024-11-15,5870.6201171875
2024-11-22,5969.33984375
2024-11-29,6032.3798828125
2024-12-06,6090.27001953125
2024-12-13,6051.08984375
2024-12-20,5930.85009765625
2024-12-27,5970.83984375
2025-01-03,5942.47021484375
2025-01-10,5827.0400390625
2025-01-17,5996.66015625
2025-01-24,6101.240234375
2025-01-31,6040.52978515625
2025-02-07,6025.990234375
2025-02-14,6114.6298828125
2025-02-21,6013.1298828125
2025-02-28,5954.5
2025-03-07,5770.2001953125
2025-03-14,5638.93994140625
2025-03-21,5667.56005859375
2025-03-28,5580.93994140625
2025-04-04,5074.080078125
2025-04-11,5363.35986328125
